run,window_size,num_rnn_layers,rnn_hidden_size,num_gaussians,dropout,lr
1,9,1,32,4,0.08943758575875912,0.0029597767641088017
2,9,1,32,4,0.08943758575875912,0.0029597767641088017
3,9,1,32,4,0.08943758575875912,0.0029597767641088017
4,9,1,32,4,0.08943758575875912,0.0029597767641088017
5,9,1,32,4,0.08943758575875912,0.0029597767641088017
