run,window_size,num_lstm_layers,lstm_hidden_size,num_gaussians,dropout,lr
1,11,1,128,7,0.28757191227536205,0.0017960607771476118
2,11,1,128,7,0.28757191227536205,0.0017960607771476118
3,11,1,128,7,0.28757191227536205,0.0017960607771476118
4,11,1,128,7,0.28757191227536205,0.0017960607771476118
5,11,1,128,7,0.28757191227536205,0.0017960607771476118
