run,window_size,num_levels,nhid,kernel_size,num_gaussians,dropout,lr
1,43,2,64,5,7,0.4966887114897456,0.0023235316551362944
2,43,2,64,5,7,0.4966887114897456,0.0023235316551362944
3,43,2,64,5,7,0.4966887114897456,0.0023235316551362944
4,43,2,64,5,7,0.4966887114897456,0.0023235316551362944
5,43,2,64,5,7,0.4966887114897456,0.0023235316551362944
