run,window_size,num_rnn_layers,rnn_hidden_size,num_gaussians,dropout,lr
1,7,1,32,2,0.11679042523243412,0.003931911282937836
2,7,1,32,2,0.11679042523243412,0.003931911282937836
3,7,1,32,2,0.11679042523243412,0.003931911282937836
4,7,1,32,2,0.11679042523243412,0.003931911282937836
5,7,1,32,2,0.11679042523243412,0.003931911282937836
