run,window_size,num_levels,nhid,kernel_size,num_gaussians,dropout,lr
1,24,2,128,5,2,0.027697825364231654,0.0004909885835017793
2,24,2,128,5,2,0.027697825364231654,0.0004909885835017793
3,24,2,128,5,2,0.027697825364231654,0.0004909885835017793
4,24,2,128,5,2,0.027697825364231654,0.0004909885835017793
5,24,2,128,5,2,0.027697825364231654,0.0004909885835017793
