run,window_size,hidden_layers,hidden_size,num_gaussians,dropout,lr
1,5,1,256,3,0.03991667404335039,0.001251042896991968
2,5,1,256,3,0.03991667404335039,0.001251042896991968
3,5,1,256,3,0.03991667404335039,0.001251042896991968
4,5,1,256,3,0.03991667404335039,0.001251042896991968
5,5,1,256,3,0.03991667404335039,0.001251042896991968
