run,window_size,num_gru_layers,gru_hidden_size,num_gaussians,dropout,lr
1,32,2,128,7,0.17280177136787142,0.001805189953257135
2,32,2,128,7,0.17280177136787142,0.001805189953257135
3,32,2,128,7,0.17280177136787142,0.001805189953257135
4,32,2,128,7,0.17280177136787142,0.001805189953257135
5,32,2,128,7,0.17280177136787142,0.001805189953257135
